enzyme_conc,substrate_conc,incubation_time,assay_optimization_score,priority
44,27,5,PENDING,1.0
44,27,480,PENDING,0.0
44,27,315,PENDING,0.0
44,27,240,PENDING,0.0
44,27,180,PENDING,0.0
44,27,120,PENDING,0.0
44,27,60,PENDING,0.0
44,27,30,PENDING,0.0
44,27,15,PENDING,0.0
44,16,480,PENDING,0.0
44,16,315,PENDING,0.0
44,16,240,PENDING,0.0
44,16,180,PENDING,0.0
44,16,120,PENDING,0.0
44,16,60,PENDING,0.0
44,16,30,PENDING,0.0
44,16,15,PENDING,0.0
44,16,5,PENDING,0.0
44,14,480,PENDING,0.0
44,14,315,PENDING,0.0
44,14,240,PENDING,0.0
44,14,180,PENDING,0.0
44,14,120,PENDING,0.0
44,14,60,PENDING,0.0
44,14,30,PENDING,0.0
44,14,15,PENDING,0.0
44,14,5,PENDING,0.0
44,12,480,PENDING,0.0
44,12,315,PENDING,0.0
44,12,240,PENDING,0.0
44,12,180,PENDING,0.0
44,12,120,PENDING,0.0
44,12,60,PENDING,0.0
44,12,30,PENDING,0.0
44,12,15,PENDING,0.0
44,12,5,PENDING,0.0
44,10,480,PENDING,0.0
44,10,315,PENDING,0.0
44,10,240,PENDING,0.0
44,10,180,PENDING,0.0
44,10,120,PENDING,0.0
44,10,60,PENDING,0.0
44,10,30,PENDING,0.0
44,10,15,PENDING,0.0
44,10,5,PENDING,0.0
44,8,480,PENDING,0.0
44,8,315,PENDING,0.0
44,8,240,PENDING,0.0
44,8,180,PENDING,0.0
44,8,120,PENDING,0.0
44,8,60,PENDING,0.0
44,8,30,PENDING,0.0
44,8,15,PENDING,0.0
44,8,5,PENDING,0.0
44,4,480,PENDING,0.0
44,4,315,PENDING,0.0
44,4,240,PENDING,0.0
44,4,180,PENDING,0.0
44,4,120,PENDING,0.0
44,4,60,PENDING,0.0
44,4,30,PENDING,0.0
44,4,15,PENDING,0.0
44,4,5,PENDING,0.0
44,2,480,PENDING,0.0
44,2,315,PENDING,0.0
44,2,240,PENDING,0.0
44,2,180,PENDING,0.0
44,2,120,PENDING,0.0
44,2,60,PENDING,0.0
44,2,30,PENDING,0.0
44,2,15,PENDING,0.0
44,2,5,PENDING,0.0
44,1,480,PENDING,0.0
44,1,315,PENDING,0.0
44,1,240,PENDING,0.0
44,1,180,PENDING,0.0
44,1,120,PENDING,0.0
44,1,60,PENDING,0.0
44,1,30,PENDING,0.0
44,1,15,PENDING,0.0
44,1,5,PENDING,0.0
24,27,480,PENDING,0.0
24,27,315,PENDING,0.0
24,27,240,PENDING,0.0
24,27,180,PENDING,0.0
24,27,120,PENDING,0.0
24,27,60,PENDING,0.0
24,27,30,PENDING,0.0
24,27,15,PENDING,0.0
24,27,5,PENDING,0.0
24,16,480,PENDING,0.0
24,16,315,PENDING,0.0
24,16,240,PENDING,0.0
24,16,180,PENDING,0.0
24,16,120,PENDING,0.0
24,16,60,PENDING,0.0
24,16,30,PENDING,0.0
24,16,15,PENDING,0.0
24,16,5,PENDING,0.0
24,14,480,PENDING,0.0
24,14,315,PENDING,0.0
24,14,240,PENDING,0.0
24,14,180,PENDING,0.0
24,14,120,PENDING,0.0
24,14,60,PENDING,0.0
24,14,30,PENDING,0.0
24,14,15,PENDING,0.0
24,14,5,PENDING,0.0
24,12,480,PENDING,0.0
24,12,315,PENDING,0.0
24,12,240,PENDING,0.0
24,12,180,PENDING,0.0
24,12,120,PENDING,0.0
24,12,60,PENDING,0.0
24,12,30,PENDING,0.0
24,12,15,PENDING,0.0
24,12,5,PENDING,0.0
24,10,480,PENDING,0.0
24,10,315,PENDING,0.0
24,10,240,PENDING,0.0
24,10,180,PENDING,0.0
24,10,120,PENDING,0.0
24,10,60,PENDING,0.0
24,10,30,PENDING,0.0
24,10,15,PENDING,0.0
24,10,5,PENDING,0.0
24,8,480,PENDING,0.0
24,8,315,PENDING,0.0
24,8,240,PENDING,0.0
24,8,180,PENDING,0.0
24,8,120,PENDING,0.0
24,8,60,PENDING,0.0
24,8,30,PENDING,0.0
24,8,15,PENDING,0.0
24,8,5,PENDING,0.0
24,4,480,PENDING,0.0
24,4,315,PENDING,0.0
24,4,240,PENDING,0.0
24,4,180,PENDING,0.0
24,4,120,PENDING,0.0
24,4,60,PENDING,0.0
24,4,30,PENDING,0.0
24,4,15,PENDING,0.0
24,4,5,PENDING,0.0
24,2,480,PENDING,0.0
24,2,315,PENDING,0.0
24,2,240,PENDING,0.0
24,2,180,PENDING,0.0
24,2,120,PENDING,0.0
24,2,60,PENDING,0.0
24,2,30,PENDING,0.0
24,2,15,PENDING,0.0
24,2,5,PENDING,0.0
24,1,480,PENDING,0.0
24,1,315,PENDING,0.0
24,1,240,PENDING,0.0
24,1,180,PENDING,0.0
24,1,120,PENDING,0.0
24,1,60,PENDING,0.0
24,1,30,PENDING,0.0
24,1,15,PENDING,0.0
24,1,5,PENDING,0.0
20,27,480,PENDING,0.0
20,27,315,PENDING,0.0
20,27,240,PENDING,0.0
20,27,180,PENDING,0.0
20,27,120,PENDING,0.0
20,27,60,PENDING,0.0
20,27,30,PENDING,0.0
20,27,15,PENDING,0.0
20,27,5,PENDING,0.0
20,16,480,PENDING,0.0
20,16,315,PENDING,0.0
20,16,240,PENDING,0.0
20,16,180,PENDING,0.0
20,16,120,PENDING,0.0
20,16,60,PENDING,0.0
20,16,30,PENDING,0.0
20,16,15,PENDING,0.0
20,16,5,PENDING,0.0
20,14,480,PENDING,0.0
20,14,315,PENDING,0.0
20,14,240,PENDING,0.0
20,14,180,PENDING,0.0
20,14,120,PENDING,0.0
20,14,60,PENDING,0.0
20,14,30,PENDING,0.0
20,14,15,PENDING,0.0
20,14,5,PENDING,0.0
20,12,480,PENDING,0.0
20,12,315,PENDING,0.0
20,12,240,PENDING,0.0
20,12,180,PENDING,0.0
20,12,120,PENDING,0.0
20,12,60,PENDING,0.0
20,12,30,PENDING,0.0
20,12,15,PENDING,0.0
20,12,5,PENDING,0.0
20,10,480,PENDING,0.0
20,10,315,PENDING,0.0
20,10,240,PENDING,0.0
20,10,180,PENDING,0.0
20,10,120,PENDING,0.0
20,10,60,PENDING,0.0
20,10,30,PENDING,0.0
20,10,15,PENDING,0.0
20,10,5,PENDING,0.0
20,8,480,PENDING,0.0
20,8,315,PENDING,0.0
20,8,240,PENDING,0.0
20,8,180,PENDING,0.0
20,8,120,PENDING,0.0
20,8,60,PENDING,0.0
20,8,30,PENDING,0.0
20,8,15,PENDING,0.0
20,8,5,PENDING,0.0
20,4,480,PENDING,0.0
20,4,315,PENDING,0.0
20,4,240,PENDING,0.0
20,4,180,PENDING,0.0
20,4,120,PENDING,0.0
20,4,60,PENDING,0.0
20,4,30,PENDING,0.0
20,4,15,PENDING,0.0
20,4,5,PENDING,0.0
20,2,480,PENDING,0.0
20,2,315,PENDING,0.0
20,2,240,PENDING,0.0
20,2,180,PENDING,0.0
20,2,120,PENDING,0.0
20,2,60,PENDING,0.0
20,2,30,PENDING,0.0
20,2,15,PENDING,0.0
20,2,5,PENDING,0.0
20,1,480,PENDING,0.0
20,1,315,PENDING,0.0
20,1,240,PENDING,0.0
20,1,180,PENDING,0.0
20,1,120,PENDING,0.0
20,1,60,PENDING,0.0
20,1,30,PENDING,0.0
20,1,15,PENDING,0.0
20,1,5,PENDING,0.0
18,27,480,PENDING,0.0
18,27,315,PENDING,0.0
18,27,240,PENDING,0.0
18,27,180,PENDING,0.0
18,27,120,PENDING,0.0
18,27,60,PENDING,0.0
18,27,30,PENDING,0.0
18,27,15,PENDING,0.0
18,27,5,PENDING,0.0
18,16,480,PENDING,0.0
18,16,315,PENDING,0.0
18,16,240,PENDING,0.0
18,16,180,PENDING,0.0
18,16,120,PENDING,0.0
18,16,60,PENDING,0.0
18,16,30,PENDING,0.0
18,16,15,PENDING,0.0
18,16,5,PENDING,0.0
18,14,480,PENDING,0.0
18,14,315,PENDING,0.0
18,14,240,PENDING,0.0
18,14,180,PENDING,0.0
18,14,120,PENDING,0.0
18,14,60,PENDING,0.0
18,14,30,PENDING,0.0
18,14,15,PENDING,0.0
18,14,5,PENDING,0.0
18,12,480,PENDING,0.0
18,12,315,PENDING,0.0
18,12,240,PENDING,0.0
18,12,180,PENDING,0.0
18,12,120,PENDING,0.0
18,12,60,PENDING,0.0
18,12,30,PENDING,0.0
18,12,15,PENDING,0.0
18,12,5,PENDING,0.0
18,10,480,PENDING,0.0
18,10,315,PENDING,0.0
18,10,240,PENDING,0.0
18,10,180,PENDING,0.0
18,10,120,PENDING,0.0
18,10,60,PENDING,0.0
18,10,30,PENDING,0.0
18,10,15,PENDING,0.0
18,10,5,PENDING,0.0
18,8,480,PENDING,0.0
18,8,315,PENDING,0.0
18,8,240,PENDING,0.0
18,8,180,PENDING,0.0
18,8,120,PENDING,0.0
18,8,60,PENDING,0.0
18,8,30,PENDING,0.0
18,8,15,PENDING,0.0
18,8,5,PENDING,0.0
18,4,480,PENDING,0.0
18,4,315,PENDING,0.0
18,4,240,PENDING,0.0
18,4,180,PENDING,0.0
18,4,120,PENDING,0.0
18,4,60,PENDING,0.0
18,4,30,PENDING,0.0
18,4,15,PENDING,0.0
18,4,5,PENDING,0.0
18,2,480,PENDING,0.0
18,2,315,PENDING,0.0
18,2,240,PENDING,0.0
18,2,180,PENDING,0.0
18,2,120,PENDING,0.0
18,2,60,PENDING,0.0
18,2,30,PENDING,0.0
18,2,15,PENDING,0.0
18,2,5,PENDING,0.0
18,1,480,PENDING,0.0
18,1,315,PENDING,0.0
18,1,240,PENDING,0.0
18,1,180,PENDING,0.0
18,1,120,PENDING,0.0
18,1,60,PENDING,0.0
18,1,30,PENDING,0.0
18,1,15,PENDING,0.0
18,1,5,PENDING,0.0
16,27,480,PENDING,0.0
16,27,315,PENDING,0.0
16,27,240,PENDING,0.0
16,27,180,PENDING,0.0
16,27,120,PENDING,0.0
16,27,60,PENDING,0.0
16,27,30,PENDING,0.0
16,27,15,PENDING,0.0
16,27,5,PENDING,0.0
16,16,480,PENDING,0.0
16,16,315,PENDING,0.0
16,16,240,PENDING,0.0
16,16,180,PENDING,0.0
16,16,120,PENDING,0.0
16,16,60,PENDING,0.0
16,16,30,PENDING,0.0
16,16,15,PENDING,0.0
16,16,5,PENDING,0.0
16,14,480,PENDING,0.0
16,14,240,PENDING,0.0
16,14,180,PENDING,0.0
16,14,120,PENDING,0.0
16,14,60,PENDING,0.0
16,14,30,PENDING,0.0
16,14,15,PENDING,0.0
16,14,5,PENDING,0.0
16,12,480,PENDING,0.0
16,12,315,PENDING,0.0
16,12,240,PENDING,0.0
16,12,180,PENDING,0.0
16,12,120,PENDING,0.0
16,12,60,PENDING,0.0
16,12,30,PENDING,0.0
16,12,15,PENDING,0.0
16,12,5,PENDING,0.0
16,10,480,PENDING,0.0
16,10,315,PENDING,0.0
16,10,240,PENDING,0.0
16,10,180,PENDING,0.0
16,10,120,PENDING,0.0
16,10,60,PENDING,0.0
16,10,30,PENDING,0.0
16,10,15,PENDING,0.0
16,10,5,PENDING,0.0
16,8,480,PENDING,0.0
16,8,315,PENDING,0.0
16,8,240,PENDING,0.0
16,8,180,PENDING,0.0
16,8,120,PENDING,0.0
16,8,60,PENDING,0.0
16,8,30,PENDING,0.0
16,8,15,PENDING,0.0
16,8,5,PENDING,0.0
16,4,480,PENDING,0.0
16,4,315,PENDING,0.0
16,4,240,PENDING,0.0
16,4,180,PENDING,0.0
16,4,120,PENDING,0.0
16,4,60,PENDING,0.0
16,4,30,PENDING,0.0
16,4,15,PENDING,0.0
16,4,5,PENDING,0.0
16,2,480,PENDING,0.0
16,2,315,PENDING,0.0
16,2,240,PENDING,0.0
16,2,180,PENDING,0.0
16,2,120,PENDING,0.0
16,2,60,PENDING,0.0
16,2,30,PENDING,0.0
16,2,15,PENDING,0.0
16,2,5,PENDING,0.0
16,1,480,PENDING,0.0
16,1,315,PENDING,0.0
16,1,240,PENDING,0.0
16,1,180,PENDING,0.0
16,1,120,PENDING,0.0
16,1,60,PENDING,0.0
16,1,30,PENDING,0.0
16,1,15,PENDING,0.0
16,1,5,PENDING,0.0
8,27,480,PENDING,0.0
8,27,315,PENDING,0.0
8,27,240,PENDING,0.0
8,27,180,PENDING,0.0
8,27,120,PENDING,0.0
8,27,60,PENDING,0.0
8,27,30,PENDING,0.0
8,27,15,PENDING,0.0
8,27,5,PENDING,0.0
8,16,480,PENDING,0.0
8,16,315,PENDING,0.0
8,16,240,PENDING,0.0
8,16,180,PENDING,0.0
8,16,120,PENDING,0.0
8,16,60,PENDING,0.0
8,16,30,PENDING,0.0
8,16,15,PENDING,0.0
8,16,5,PENDING,0.0
8,14,480,PENDING,0.0
8,14,315,PENDING,0.0
8,14,240,PENDING,0.0
8,14,180,PENDING,0.0
8,14,120,PENDING,0.0
8,14,60,PENDING,0.0
8,14,30,PENDING,0.0
8,14,15,PENDING,0.0
8,14,5,PENDING,0.0
8,12,480,PENDING,0.0
8,12,315,PENDING,0.0
8,12,240,PENDING,0.0
8,12,180,PENDING,0.0
8,12,120,PENDING,0.0
8,12,60,PENDING,0.0
8,12,30,PENDING,0.0
8,12,15,PENDING,0.0
8,12,5,PENDING,0.0
8,10,480,PENDING,0.0
8,10,315,PENDING,0.0
8,10,240,PENDING,0.0
8,10,180,PENDING,0.0
8,10,120,PENDING,0.0
8,10,60,PENDING,0.0
8,10,30,PENDING,0.0
8,10,15,PENDING,0.0
8,10,5,PENDING,0.0
8,8,480,PENDING,0.0
8,8,315,PENDING,0.0
8,8,240,PENDING,0.0
8,8,180,PENDING,0.0
8,8,120,PENDING,0.0
8,8,60,PENDING,0.0
8,8,30,PENDING,0.0
8,8,15,PENDING,0.0
8,8,5,PENDING,0.0
8,4,480,PENDING,0.0
8,4,315,PENDING,0.0
8,4,240,PENDING,0.0
8,4,180,PENDING,0.0
8,4,120,PENDING,0.0
8,4,60,PENDING,0.0
8,4,30,PENDING,0.0
8,4,15,PENDING,0.0
8,4,5,PENDING,0.0
8,2,480,PENDING,0.0
8,2,315,PENDING,0.0
8,2,240,PENDING,0.0
8,2,180,PENDING,0.0
8,2,120,PENDING,0.0
8,2,60,PENDING,0.0
8,2,30,PENDING,0.0
8,2,15,PENDING,0.0
8,2,5,PENDING,0.0
8,1,480,PENDING,0.0
8,1,315,PENDING,0.0
8,1,240,PENDING,0.0
8,1,180,PENDING,0.0
8,1,120,PENDING,0.0
8,1,60,PENDING,0.0
8,1,30,PENDING,0.0
8,1,15,PENDING,0.0
8,1,5,PENDING,0.0
4,27,480,PENDING,0.0
4,27,315,PENDING,0.0
4,27,240,PENDING,0.0
4,27,180,PENDING,0.0
4,27,120,PENDING,0.0
4,27,60,PENDING,0.0
4,27,30,PENDING,0.0
4,27,15,PENDING,0.0
4,27,5,PENDING,0.0
4,16,480,PENDING,0.0
4,16,315,PENDING,0.0
4,16,240,PENDING,0.0
4,16,180,PENDING,0.0
4,16,120,PENDING,0.0
4,16,60,PENDING,0.0
4,16,30,PENDING,0.0
4,16,15,PENDING,0.0
4,16,5,PENDING,0.0
4,14,480,PENDING,0.0
4,14,315,PENDING,0.0
4,14,240,PENDING,0.0
4,14,180,PENDING,0.0
4,14,120,PENDING,0.0
4,14,60,PENDING,0.0
4,14,30,PENDING,0.0
4,14,15,PENDING,0.0
4,14,5,PENDING,0.0
4,12,480,PENDING,0.0
4,12,315,PENDING,0.0
4,12,240,PENDING,0.0
4,12,180,PENDING,0.0
4,12,120,PENDING,0.0
4,12,60,PENDING,0.0
4,12,30,PENDING,0.0
4,12,15,PENDING,0.0
4,12,5,PENDING,0.0
4,10,480,PENDING,0.0
4,10,315,PENDING,0.0
4,10,240,PENDING,0.0
4,10,180,PENDING,0.0
4,10,120,PENDING,0.0
4,10,60,PENDING,0.0
4,10,30,PENDING,0.0
4,10,15,PENDING,0.0
4,10,5,PENDING,0.0
4,8,480,PENDING,0.0
4,8,315,PENDING,0.0
4,8,240,PENDING,0.0
4,8,180,PENDING,0.0
4,8,120,PENDING,0.0
4,8,60,PENDING,0.0
4,8,30,PENDING,0.0
4,8,15,PENDING,0.0
4,8,5,PENDING,0.0
4,4,480,PENDING,0.0
4,4,315,PENDING,0.0
4,4,240,PENDING,0.0
4,4,180,PENDING,0.0
4,4,120,PENDING,0.0
4,4,60,PENDING,0.0
4,4,30,PENDING,0.0
4,4,15,PENDING,0.0
4,4,5,PENDING,0.0
4,2,480,PENDING,0.0
4,2,315,PENDING,0.0
4,2,240,PENDING,0.0
4,2,180,PENDING,0.0
4,2,120,PENDING,0.0
4,2,60,PENDING,0.0
4,2,30,PENDING,0.0
4,2,15,PENDING,0.0
4,2,5,PENDING,0.0
4,1,480,PENDING,0.0
4,1,315,PENDING,0.0
4,1,240,PENDING,0.0
4,1,180,PENDING,0.0
4,1,120,PENDING,0.0
4,1,60,PENDING,0.0
4,1,30,PENDING,0.0
4,1,15,PENDING,0.0
4,1,5,PENDING,0.0
2,27,480,PENDING,0.0
2,27,315,PENDING,0.0
2,27,240,PENDING,0.0
2,27,180,PENDING,0.0
2,27,120,PENDING,0.0
2,27,60,PENDING,0.0
2,27,30,PENDING,0.0
2,27,15,PENDING,0.0
2,27,5,PENDING,0.0
2,16,480,PENDING,0.0
2,16,315,PENDING,0.0
2,16,240,PENDING,0.0
2,16,180,PENDING,0.0
2,16,120,PENDING,0.0
2,16,60,PENDING,0.0
2,16,30,PENDING,0.0
2,16,15,PENDING,0.0
2,16,5,PENDING,0.0
2,14,480,PENDING,0.0
2,14,315,PENDING,0.0
2,14,240,PENDING,0.0
2,14,180,PENDING,0.0
2,14,120,PENDING,0.0
2,14,60,PENDING,0.0
2,14,30,PENDING,0.0
2,14,15,PENDING,0.0
2,14,5,PENDING,0.0
2,12,480,PENDING,0.0
2,12,315,PENDING,0.0
2,12,240,PENDING,0.0
2,12,180,PENDING,0.0
2,12,120,PENDING,0.0
2,12,60,PENDING,0.0
2,12,30,PENDING,0.0
2,12,15,PENDING,0.0
2,12,5,PENDING,0.0
2,10,480,PENDING,0.0
2,10,240,PENDING,0.0
2,10,180,PENDING,0.0
2,10,120,PENDING,0.0
2,10,60,PENDING,0.0
2,10,30,PENDING,0.0
2,10,15,PENDING,0.0
2,10,5,PENDING,0.0
2,8,480,PENDING,0.0
2,8,315,PENDING,0.0
2,8,240,PENDING,0.0
2,8,180,PENDING,0.0
2,8,120,PENDING,0.0
2,8,60,PENDING,0.0
2,8,30,PENDING,0.0
2,8,15,PENDING,0.0
2,8,5,PENDING,0.0
2,4,480,PENDING,0.0
2,4,315,PENDING,0.0
2,4,240,PENDING,0.0
2,4,180,PENDING,0.0
2,4,120,PENDING,0.0
2,4,60,PENDING,0.0
2,4,30,PENDING,0.0
2,4,15,PENDING,0.0
2,4,5,PENDING,0.0
2,2,480,PENDING,0.0
2,2,315,PENDING,0.0
2,2,240,PENDING,0.0
2,2,180,PENDING,0.0
2,2,120,PENDING,0.0
2,2,60,PENDING,0.0
2,2,30,PENDING,0.0
2,2,15,PENDING,0.0
2,2,5,PENDING,0.0
2,1,480,PENDING,0.0
2,1,315,PENDING,0.0
2,1,240,PENDING,0.0
2,1,180,PENDING,0.0
2,1,120,PENDING,0.0
2,1,60,PENDING,0.0
2,1,30,PENDING,0.0
2,1,15,PENDING,0.0
2,1,5,PENDING,0.0
1,27,480,PENDING,0.0
1,27,315,PENDING,0.0
1,27,240,PENDING,0.0
1,27,180,PENDING,0.0
1,27,120,PENDING,0.0
1,27,60,PENDING,0.0
1,27,30,PENDING,0.0
1,27,15,PENDING,0.0
1,16,480,PENDING,0.0
1,16,315,PENDING,0.0
1,16,240,PENDING,0.0
1,16,180,PENDING,0.0
1,16,120,PENDING,0.0
1,16,60,PENDING,0.0
1,16,30,PENDING,0.0
1,16,15,PENDING,0.0
1,16,5,PENDING,0.0
1,14,480,PENDING,0.0
1,14,315,PENDING,0.0
1,14,240,PENDING,0.0
1,14,180,PENDING,0.0
1,14,120,PENDING,0.0
1,14,60,PENDING,0.0
1,14,30,PENDING,0.0
1,14,15,PENDING,0.0
1,14,5,PENDING,0.0
1,12,480,PENDING,0.0
1,12,315,PENDING,0.0
1,12,240,PENDING,0.0
1,12,180,PENDING,0.0
1,12,60,PENDING,0.0
1,12,30,PENDING,0.0
1,12,15,PENDING,0.0
1,12,5,PENDING,0.0
1,10,480,PENDING,0.0
1,10,315,PENDING,0.0
1,10,240,PENDING,0.0
1,10,180,PENDING,0.0
1,10,120,PENDING,0.0
1,10,60,PENDING,0.0
1,10,30,PENDING,0.0
1,10,15,PENDING,0.0
1,10,5,PENDING,0.0
1,8,480,PENDING,0.0
